|topicName|wordWeight
0|Topic_0|[('dress', 0.022862336), ('hotel', 0.013485147), ('designer', 0.010023065), ('far', 0.009106526), ('magazine', 0.008676717), ('point', 0.00858706), ('exercise', 0.008436228), ('room', 0.007859654), ('water', 0.00761044), ('raise', 0.0069048945)]
1|Topic_1|[('food', 0.022286713), ('idea', 0.011973248), ('poll', 0.009793506), ('party', 0.009136835), ('challenge', 0.009033373), ('craft', 0.007780534), ('state', 0.0071452), ('consider', 0.0071367747), ('choose', 0.006839356), ('practice', 0.006655153)]
2|Topic_2|[('photo', 0.04015393), ('feel', 0.016643183), ('look', 0.015950229), ('check', 0.015319702), ('style', 0.015116998), ('day', 0.013659677), ('home', 0.0135588), ('sure', 0.010544163), ('take', 0.010417258), ('travel', 0.010057765)]
3|Topic_3|[('photo', 0.041234557), ('video', 0.03135749), ('divorce', 0.030959513), ('wear', 0.019189041), ('marriage', 0.017136421), ('girl', 0.014065077), ('spring', 0.0132106105), ('show', 0.012076606), ('star', 0.009318366), ('new', 0.009306824)]
4|Topic_4|[('get', 0.0150572825), ('good', 0.014859781), ('make', 0.014254295), ('love', 0.01381737), ('day', 0.013739225), ('know', 0.011835085), ('child', 0.010618854), ('life', 0.010586864), ('photo', 0.010485208), ('time', 0.010157745)]
5|Topic_5|[('get', 0.012817944), ('tip', 0.011774397), ('summer', 0.0115216), ('good', 0.008761644), ('relationship', 0.008565872), ('fear', 0.007774299), ('time', 0.007515431), ('beauty', 0.0072656283), ('say', 0.0071344976), ('make', 0.0070845573)]
6|Topic_6|[('health', 0.013363983), ('say', 0.0132272355), ('woman', 0.013093209), ('man', 0.009811405), ('sometimes', 0.009192956), ('cancer', 0.008227612), ('percent', 0.00820065), ('report', 0.0077072396), ('yoga', 0.0065310504), ('understand', 0.006443658)]
7|Topic_7|[('new', 0.026267167), ('year', 0.014341458), ('week', 0.00954388), ('healthy', 0.008958756), ('sleep', 0.008521397), ('york', 0.0070118583), ('create', 0.0067916936), ('last', 0.006763078), ('night', 0.006663727), ('model', 0.006442293)]
