|topicName|wordWeight
0|Topic_0|[('tip', 0.011552401), ('hotel', 0.008524709), ('relationship', 0.0082916785), ('fear', 0.0074773743), ('always', 0.00651671), ('live', 0.006208971), ('world', 0.0060995603), ('facebook', 0.0058968626), ('buy', 0.005852955), ('practice', 0.004680731)]
1|Topic_1|[('health', 0.0114935255), ('summer', 0.00900585), ('american', 0.007994982), ('spring', 0.007661053), ('new', 0.007508444), ('money', 0.0069183274), ('idea', 0.006653), ('say', 0.005979531), ('poll', 0.0056411866), ('party', 0.0051485803)]
2|Topic_2|[('divorce', 0.021535184), ('sleep', 0.010279428), ('city', 0.008197855), ('home', 0.006102066), ('man', 0.006039639), ('say', 0.005990548), ('click', 0.005602784), ('year', 0.0055594407), ('small', 0.005412239), ('case', 0.0053428127)]
3|Topic_3|[('photo', 0.043103445), ('video', 0.018332422), ('look', 0.014515701), ('new', 0.014046576), ('week', 0.01222587), ('wedding', 0.009794485), ('see', 0.00817753), ('show', 0.0075418046), ('food', 0.0074856016), ('check', 0.0074231066)]
4|Topic_4|[('make', 0.013766866), ('day', 0.011477666), ('get', 0.0114082415), ('way', 0.011217648), ('know', 0.011042468), ('life', 0.010680978), ('time', 0.010545205), ('good', 0.009740549), ('find', 0.008226339), ('think', 0.008195512)]
